שנה,מחוז,רשות,שם רשות,כמות משפחות מקבלות סיוע,סך הכל שימושים,כמות סל המענים בסוג סיוע  איבזור הבית והתקנה,סך הכל הוצאה עבור איבזור הבית והתקנה בשח,כמות סל המענים בסוג סיוע  ביגוד והנעלה,סך הכל הוצאה עבור ביגוד והנעלה בשח,כמות סל המענים בסוג סיוע  הוצאה עבור בריאות,סך הכל הוצאה עבור בריאות בשח,כמות סל המענים בסוג סיוע  חובות כספיים,סך הכל הוצאה עבור חובות כספיים בשח,כמות סל המענים בסוג סיוע  חוגים,סך הכל הוצאה עבור חוגים בשח,כמות סל המענים בסוג סיוע  חינוך והשכלה,סך הכל הוצאה עבור חינוך והשכלה בשח,כמות סל המענים בסוג סיוע  מוצרי חשמל,סך הכל הוצאה עבור מוצרי חשמל בשח,כמות סל המענים בסוג סיוע  מוצרים חריגים,סך הכל הוצאה עבור מוצרים חריגים בשח,כמות סל המענים בסוג סיוע  ריהוט,סך הכל הוצאה עבור ריהוט בשח,כמות סל המענים בסוג סיוע  שונות,סך הכל הוצאה עבור שונות בשח,כמות סל המענים בסוג סיוע  תעסוקה,סך הכל הוצאה עבור תעסוקה בשח,כמות סל המענים בסוג סיוע  תחבורה,סך הכל הוצאה הסעה בשח,כמות סל המענים בסוג סיוע  פעילות רשותית,סך הכל הוצאה פעילות רשותית בשח
2023,הדרום,100,אילת,222,"1,163,553.28",31,"83,506.80",80,"69,871.60",64,"80,696.40",124,"122,106.92","2,190","23,980.00",72,"134,815.71",39,"42,107.84",81,"51,806.80",89,"192,885.99",161,"209,384.52",52,"160,463.70",1,,5,"1,285.00"
2023,הדרום,102,באר שבע,"1,404","7,658,111.56",192,"371,453.20",920,"673,248.60",155,"296,590.05",724,"1,063,802.22","15,387","231,795.10",534,"478,852.39",470,"790,139.28",121,"59,087.20",671,"1,303,046.37","2,194","1,416,469.12",431,"1,219,855.44",1,,9,"3,341.00"
2023,הדרום,105,דימונה ,693,"4,066,016.06",149,"139,892.76",603,"442,636.99",183,"290,752.02",540,"736,765.42","8,719","126,538.40",253,"194,650.00",356,"667,310.84",54,"51,197.00",531,"1,064,177.76","1,425","787,601.06",146,"401,657.20",4,,20,"13,793.96"
2023,הדרום,106,קרית גת,510,"3,149,065.50",105,"129,217.00",449,"306,137.68",278,"361,137.98",563,"806,197.31","6,004","93,714.60",221,"232,503.00",187,"358,036.00",117,"59,424.38",280,"538,638.36",666,"352,325.47",151,"287,956.20",1,,5,"1,485.00"
2023,הדרום,120,אופקים ,178,"898,247.54",24,"27,908.40",45,"37,600.00",14,"21,539.40",176,"203,789.62","2,916","22,210.00",65,"54,222.96",49,"84,180.00",112,"114,306.00",38,"63,918.00",239,"207,487.56",17,"62,767.60",14,"39,215.00",29,"12,818.00"
2023,הדרום,123,ירוחם ,261,"2,266,324.48",30,"114,300.00",193,"210,139.65",93,"182,645.36",335,"593,413.21","5,281","103,650.00",136,"117,412.00",89,"212,070.00",68,"49,740.00",94,"204,490.00",327,"289,488.20",80,"150,902.90",,,,
2023,הדרום,125,נתיבות ,203,"729,940.33",31,"57,429.85",46,"30,358.20",36,"37,595.20",94,"134,652.20",9,"6,168.00",16,"11,327.08",52,"60,813.00",34,"11,480.00",48,"87,648.40",145,"105,947.20",84,"186,521.20",,,,
2023,הדרום,127,שדרות ,147,"560,786.80",,,69,"51,032.00",12,"41,004.00",38,"59,846.30","1,645","26,800.00",20,"11,394.00",49,"112,250.00",33,"23,913.00",33,"86,757.36",38,"29,264.60",27,"126,525.54",,,,
2023,הדרום,130,ערד ,313,"1,837,847.09",49,"80,505.00",229,"143,427.00",118,"140,562.30",762,"903,737.29","2,948","34,302.00",27,"25,146.96",112,"129,806.16",36,"17,427.70",106,"180,150.60",146,"143,497.08",92,"151,545.00",,,,
2023,הדרום,221,רהט ,460,"2,584,078.92",56,"136,900.00",91,"96,540.00",17,"24,000.00",13,"27,663.20",12,"17,000.00",152,"144,375.00",142,"274,500.00",20,"28,500.00",110,"241,288.00",50,"53,476.00",495,"1,539,836.72",,,,
2023,הדרום,222,תל שבע,168,"735,772.80",46,"85,500.00",233,"212,900.00",11,"33,000.00",,,,,74,"70,478.00",95,"134,500.00",1,40,23,"33,000.00",119,"112,354.80",14,"45,000.00",,,,
2023,הדרום,240,ערערה-בנגב ,184,"552,050.00",11,"6,600.00",193,"181,400.00",,,9,"6,750.00",,,176,"171,500.00",28,"41,500.00",,,13,"37,700.00",93,"57,400.00",20,"49,200.00",,,,
2023,הדרום,241,לקיה ,172,"495,271.00",93,"290,000.00",45,"47,000.00",,,10,"20,000.00",,,8,"8,000.00",32,"37,801.00",6,"18,000.00",,,16,"28,970.00",17,"45,500.00",,,,
2023,הדרום,242,חורה ,236,"1,025,259.86",,,86,"76,800.00",10,"22,112.00",,,,,16,"16,336.10",69,"127,170.00",20,"30,000.00",13,"26,800.00",107,"106,973.96",281,"619,067.80",,,,
