שנה,מחוז,רשות,שם רשות,כמות משפחות מקבלות סיוע,סך הכל שימושים,כמות סל המענים בסוג סיוע  איבזור הבית והתקנה,סך הכל הוצאה עבור איבזור הבית והתקנה בשח,כמות סל המענים בסוג סיוע  ביגוד והנעלה,סך הכל הוצאה עבור ביגוד והנעלה בשח,כמות סל המענים בסוג סיוע  הוצאה עבור בריאות,סך הכל הוצאה עבור בריאות בשח,כמות סל המענים בסוג סיוע  חובות כספיים,סך הכל הוצאה עבור חובות כספיים בשח,כמות סל המענים בסוג סיוע  חוגים,סך הכל הוצאה עבור חוגים בשח,כמות סל המענים בסוג סיוע  חינוך והשכלה,סך הכל הוצאה עבור חינוך והשכלה בשח,כמות סל המענים בסוג סיוע  מוצרי חשמל,סך הכל הוצאה עבור מוצרי חשמל בשח,כמות סל המענים בסוג סיוע  מוצרים חריגים,סך הכל הוצאה עבור מוצרים חריגים בשח,כמות סל המענים בסוג סיוע  ריהוט,סך הכל הוצאה עבור ריהוט בשח,כמות סל המענים בסוג סיוע  שונות,סך הכל הוצאה עבור שונות בשח,כמות סל המענים בסוג סיוע  תעסוקה,סך הכל הוצאה עבור תעסוקה בשח,כמות סל המענים בסוג סיוע  תחבורה,סך הכל הוצאה הסעה בשח,כמות סל המענים בסוג סיוע  פעילות רשותית,סך הכל הוצאה פעילות רשותית בשח
2022,חיפה והצפון,620,אום אל  פחם ,775,4596031.28,131,324559.18,310,230308.84,219,335792.42,250,426415.52,46,30930,209,237343.28,480,854067.1,77,3900,355,708466.04,215,120081.7,1986,4658053.89,,,,
2022,חיפה והצפון,621,אכסאל    ,218,1373254,34,85000,104,85552.1,18,26340,,,14,13600,34,27706,88,192388,,,76,175320,24,13858,647,1965162,,,,
2022,חיפה והצפון,622,באקה אל-גרביה   ,185,1807530.86,30,78090,525,339673.22,55,82337.6,135,287774.3,44,39618,270,231373.6,295,575196,154,272322,169,378848.62,161,89118.14,203,427940,,,,
2022,חיפה והצפון,629,מג'אר    ,220,1012275.35,213,428671,237,164320,78,95078,44,68704.35,2,1400,179,97598,354,460840,17,768,446,736500,96,71025.5,37,74730,2005,12000,,
2022,חיפה והצפון,636,כפר קרע   ,215,1256746.68,40,85700,313,293459.68,29,28900,25,48588,281,264201,217,188500,292,559516,48,82520,181,378060,202,170625,138,432842,,,,
2022,חיפה והצפון,638,אעבלין    ,215,1273205,144,316254,42,44400,60,105400,96,183698.64,102,88440,127,143130,221,437660,100,141600,220,436826,40,33343,190,592090,,,,
2022,חיפה והצפון,639,מג'ד-אל-כרום    ,212,1419750,84,201030,34,28530,53,110142,9,18768,18,19800,44,70016,139,287614,6,39900,99,208424,22,7766,390,1303746.16,,,,
2022,חיפה והצפון,640,מג'ד אל  שאמס ,183,926040,73,170520,117,89510.2,92,153440,19,39832,134,150860,90,89415,185,305896,54,86190,44,92460,32,30702,319,1043164.36,,,,
2022,חיפה והצפון,641,עין מאהל   ,173,957847.9,61,342244,36,39908,15,26721.9,14,28526,10,6362,88,126768,65,181300,30,36900,39,144800,31,178335,189,729274,,,,
2022,חיפה והצפון,642,ירכא    ,191,673882.5,74,95841.06,88,75600,38,40958.96,241,397058.5,56,34732,84,60200,141,215833,136,102117.8,53,89100,245,147660,233,428333.92,,,,
2022,חיפה והצפון,643,סח'נין    ,329,1854865.18,66,109590,85,66990,42,42480,,,165,99720,121,135410,241,461272,55,2640,186,408220,107,53352.5,1577,3143806.94,,,24,27080
2022,חיפה והצפון,644,עראבה    ,217,1137430,93,148740,185,190990,23,43362,117,234054.12,187,154520,74,56930,288,524415,54,53060,352,622341,60,62145,102,293690,,,,
2022,חיפה והצפון,647,בועינה-נג'דאת    ,213,1155123.26,20,52644,168,150290.26,50,140800,2,2400,4,2700,75,103670,76,98280,44,109277.26,40,72180,35,19517,587,1667512.66,,,,
2022,חיפה והצפון,648,נחף    ,208,1708032.6,65,164515,259,264718,20,61768,132,230561.6,4,3200,124,161198,108,228380,12,16800,300,684371.54,179,159420,199,669307,,,,
2022,חיפה והצפון,649,מכאר-ג'דידה    ,207,1121686,34,72000,180,162184,71,141916,129,226368.14,75,82000,87,75870,184,359658,26,36500,184,362456,32,11670,340,911022,,,,
2022,חיפה והצפון,651,ריינה    ,216,1214476,27,44800,60,54979.4,25,54100,12,16560,174,138200,90,78660,205,360168.6,50,46500,94,183750,143,127568,671,1456447,,,,
2022,חיפה והצפון,654,כפר מנדא   ,209,884860.4,92,207880,249,184600,42,35200,5,5000,84,76920,174,164320,186,325294,18,22200,238,450180,168,163554,223,467872.4,,,,
2022,חיפה והצפון,657,יפיע    ,220,1731957.08,15,61982.9,339,264391.82,14,10780,15,25240,46,43800,173,145800,131,296151,271,425058.5,106,243600,13,2247.5,528,1426437.18,,,,
2022,חיפה והצפון,662,מ.מ כאבול   ,193,991919,68,157040,26,28800,96,134766,18,25864,,,147,121607,147,354026,128,195770,74,155560,96,98000,262,704414,,,,
2022,חיפה והצפון,664,ערערה    ,186,734431.7,33,77992,131,113600,42,57287.5,30,46449.32,12,10440,145,105944.4,226,436644,40,15460,194,397063.2,148,150235,122,310812,,,,
2022,חיפה והצפון,665,דיר חנא   ,166,692426,98,79200,91,54000,24,35400,8,16000,18,14280,83,98666,152,282780,18,27000,139,344300,47,33200,390,767922,,,,
2022,חיפה והצפון,666,ביר אל  מכסור ,211,1307823,268,402715,133,106147.6,29,35498,1,2966,28,24160,91,76200,303,592395,41,145400,400,808829,2,4000,146,388396,,,,
2022,חיפה והצפון,667,כפר כנא   ,219,982530,229,549197,26,20800,14,31360,2,4200,11,6700,51,70440,155,287200,280,358450,138,233610,14,15200,338,813388,,,,
2022,חיפה והצפון,669,שעב    ,219,1357320,40,91980,238,247750,92,218200,16,13460,63,72100,227,236880,310,534860,29,44500,133,334820,127,133000,141,392120,,,,
2022,חיפה והצפון,675,מעלה עירון  / זלפה,181,961802.78,67,227558,250,232569.46,78,133500,69,134173,6,14400,90,83800,121,250795,52,129823,131,306100,88,118240,173,483744.4,7,,,
2022,חיפה והצפון,677,אל-בטוף    ,190,1260222,108,291654,92,77084.2,28,53300,22,28800,,,83,85600,168,307580,100,137580,213,450947,46,33480,299,914341,,,,
2022,חיפה והצפון,690,אבו סנאן   ,181,1236848.72,68,169263,200,139028.4,208,171314.08,100,181646.66,97,85236,136,100368,218,442301.6,75,88970,145,213711.2,297,159719.44,271,653664,,,,
2022,חיפה והצפון,692,טורעאן    ,207,965529,78,232884,74,51200,51,100356,23,48726,45,37870,218,148464,70,188662,10,2360,105,294378,64,70500,276,977949,,,,
2022,חיפה והצפון,693,דאלית אל-כרמל   ,210,935913.64,61,154984,164,129418,95,146797.16,89,202040.12,36,25240,198,183376,81,166004,168,196428,114,195442,180,72490,194,313534,,,,
2022,ירושלים,101,אשקלון    ,536,3747797.38,90,120155,774,577155.66,272,325325.64,1934,2610107.52,327,331419.8,158,133388.64,499,806924.26,116,73548,621,1266455,158,135895,220,556441,,,,
2022,ירושלים,103,ירושלים    ,2205,14474751.74,352,655057.35,929,804221.54,781,1220646.68,2116,3828069.07,452,375648.35,633,774060.94,1477,3139315.2,573,489377.2,1270,2388582.96,1083,634571.3,2661,6421662.46,,,19,6966.8
2022,ירושלים,104,אשדוד    ,1224,6855086.9,203,333557.2,532,424909.66,547,844787.9,2731,4137309.72,263,297287.2,450,458470.4,1190,2153321.6,402,426101.98,1093,2283187.65,776,509102.76,581,1510353.12,,,,
2022,ירושלים,121,בית שמש   ,240,2314629.74,96,128036.4,218,114432.28,187,316610.51,690,1092932.52,89,94635,157,131100,416,894573.71,83,111537.8,457,1113337.76,88,61803.4,164,379462.54,,,6,5780
2022,ירושלים,129,קרית מלאכי   ,212,1609795.6,122,122720.4,616,429661.4,167,195524.16,327,493642.94,47,65734,58,52008.64,161,249112,88,107246.4,337,580855.58,174,65620,180,184875.8,,,,
2022,ירושלים,140,מעלה אדומים   ,181,1378345.04,43,63941,247,126713.36,170,194414.6,614,1285885.3,112,108879,50,60950,220,408403,24,20404,80,182372.24,56,55500,88,160512,,,,
2022,ירושלים,146,ביתר עילית   ,182,1592710.8,60,139628.8,119,98842,116,179498.8,149,224469.34,13,13948,26,35854,68,163000,136,114303.25,81,196826.4,85,51655.52,540,1420597.5,,,,
2022,ירושלים,147,מודיעין עילית   ,203,1675936.78,113,256585.97,129,159661.85,124,203086.14,169,385334.04,24,16756,62,61874,171,354489.04,208,275609.98,187,484893.4,153,192560.32,276,503109.2,7,,,
2022,ירושלים,178,מטה בנימין   ,341,3005269.74,114,433552.86,2,894.8,137,457765,207,605648.68,47,112558.6,2,2600,187,534755,102,349927.28,71,256451,97,343903.5,108,395439.4,1,,6,12000
2022,תל אביב והמרכז,300,בני ברק   ,845,5171750.98,166,287242.3,446,448805,437,589906.96,559,803224.72,170,164445.04,284,321319.8,889,1836969.14,702,846322.66,685,1575391.06,351,328216.4,794,1861161.68,,,,
2022,תל אביב והמרכז,301,בת ים   ,310,1304253.62,109,201953.3,386,291758.38,327,513515.44,610,940747.12,144,139722.24,277,211495.34,267,484811.08,293,299987.9,274,542630.48,358,311562.48,230,482769.2,,,2,980
2022,תל אביב והמרכז,304,חולון    ,345,1833543.19,48,95078.3,252,211170.2,220,348234.84,709,1318483.07,201,255719,173,141467.3,266,567432.06,132,261766.2,326,761384.06,309,211006.62,241,733507.5,,,,
2022,תל אביב והמרכז,306,לוד    ,231,979900.4,68,93203.36,384,250429.72,142,173737.94,339,560946.04,245,235103.98,125,103608,280,572743.66,118,227854.6,250,513209.1,164,159377.78,446,982663.28,,,,
2022,תל אביב והמרכז,307,נתניה    ,838,7108991.37,142,359337.06,404,430095.83,465,816057.02,1319,2258743.45,366,444445.26,381,387807.48,426,793458.28,416,387591.64,807,1748974.52,766,605036.94,1197,2639478.87,,,4,6560
2022,תל אביב והמרכז,311,רמלה    ,415,3073080.66,79,122162.56,410,398502.26,260,339578.05,630,1134187.9,56,62916.57,198,168499.91,441,843670.18,280,278981.96,306,655248.62,330,365925.82,532,1553936.43,,,,
2022,תל אביב והמרכז,313,תל אביב   ,415,4092016.84,127,221601.8,827,599630.46,444,630955.72,929,1699140.64,275,315032.48,289,318403.02,337,550545.2,198,355271.78,378,830569.42,745,418073.09,211,590883.08,,,,
2022,תל אביב והמרכז,329,יבנה    ,169,1251004.06,30,57587,210,188238.85,150,251689.07,230,414747.5,14,13960,54,66910.2,88,170439.08,154,218872.2,113,249876.72,174,122573.62,175,484112.84,,,2,360
2022,תל אביב והמרכז,347,אור יהודה   ,355,2518345.2,123,203988.54,235,164508.3,259,397519.53,614,1157437.74,57,67433.38,97,76906.2,171,251950.72,184,217235.08,277,582301.56,312,285757.59,135,309114.68,,,,
2022,תל אביב והמרכז,366,אלעד    ,198,1278328.45,44,36746.22,949,605736.16,172,124245.76,160,231229.57,88,67509,197,132516.72,483,568250,77,74567,280,592350.96,53,36252.32,89,190325.3,,,,
2022,תל אביב והמרכז,377,שומרון    ,261,2746308.78,115,420761.34,35,28118,196,362484.76,639,1483482.24,80,74795.88,69,104613.8,102,247105.84,82,129862.8,22,69630,340,417671.98,205,567016.34,,,,
2022,תל אביב והמרכז,421,טייבה    ,318,2391464.85,165,427950,162,140762.8,74,81994.7,333,514456.28,2,216,225,299308,367,675122,13,7368,290,597120,173,126733.87,442,1218700,7,,,
2022,תל אביב והמרכז,422,טירה    ,217,1705807.7,206,479635,28,15170,64,115793.4,160,271357.5,66,58930,104,89420,273,532491,85,111746,501,979959,145,111080,45,105742.72,,,,
2022,תל אביב והמרכז,424,כפר קאסם   ,345,3865401.14,153,329268,247,222042,122,274639.96,572,1246299.17,74,144824,190,242942,435,902735,50,92838,334,1096266.3,170,135278,259,598820,,,,
2022,תל אביב והמרכז,425,קלנסווה    ,176,1582541.26,117,169820.48,164,91268.26,47,56753.96,202,406020.22,92,82580,65,60169.08,289,579730,46,48452,266,572517.12,209,95477.56,189,701537.6,,,,
