שנה,מחוז,רשות,שם רשות,כמות משפחות מקבלות סיוע,סך הכל שימושים,כמות סל המענים בסוג סיוע  איבזור הבית והתקנה,סך הכל הוצאה עבור איבזור הבית והתקנה בשח,כמות סל המענים בסוג סיוע  ביגוד והנעלה,סך הכל הוצאה עבור ביגוד והנעלה בשח,כמות סל המענים בסוג סיוע  הוצאה עבור בריאות,סך הכל הוצאה עבור בריאות בשח,כמות סל המענים בסוג סיוע  חובות כספיים,סך הכל הוצאה עבור חובות כספיים בשח,כמות סל המענים בסוג סיוע  חוגים,סך הכל הוצאה עבור חוגים בשח,כמות סל המענים בסוג סיוע  חינוך והשכלה,סך הכל הוצאה עבור חינוך והשכלה בשח,כמות סל המענים בסוג סיוע  מוצרי חשמל,סך הכל הוצאה עבור מוצרי חשמל בשח,כמות סל המענים בסוג סיוע  מוצרים חריגים,סך הכל הוצאה עבור מוצרים חריגים בשח,כמות סל המענים בסוג סיוע  ריהוט,סך הכל הוצאה עבור ריהוט בשח,כמות סל המענים בסוג סיוע  שונות,סך הכל הוצאה עבור שונות בשח,כמות סל המענים בסוג סיוע  תעסוקה,סך הכל הוצאה עבור תעסוקה בשח,כמות סל המענים בסוג סיוע  תחבורה,סך הכל הוצאה הסעה בשח,כמות סל המענים בסוג סיוע  פעילות רשותית,סך הכל הוצאה פעילות רשותית בשח
2021,דרום                          ,100,אילת,141,1062802.08,329,474021.2,712,506213.66,139,239219.24,256,344213.58,124,185195,278,317052.45,247,391213,130,180884,411,765705.82,246,254444.22,170,572265.08,0,0,9,13900
2021,דרום                          ,102,באר שבע,1824,9413694.1,766,867617.1,3618,3049159.24,1156,1860499.29,1483,2046971.48,1485,1436234.56,1254,1143608.95,3293,6160086.18,246,389358.67,4470,8131842.74,4374,2796027.97,2198,6017066.25,0,0,20,27674.95
2021,דרום                          ,105,דימונה,748,4025065.8,419,433354.24,2239,1743327.71,580,765865.91,1097,1409092.47,437,399823.74,1175,757881.05,1210,1958573.55,127,180321.87,1989,3686176.31,1935,825749.74,791,1519814.45,0,0,29,45726.2
2021,דרום                          ,106,קרית גת,569,2202335.85,410,444376.06,1097,887672.9,699,882823.51,1117,1495367.72,469,433057.19,984,758269.48,1089,1724038.02,197,246624.47,1202,2212055.15,1197,589577.26,336,714059.52,1,517,1,1500
2021,דרום                          ,120,אופקים,236,1004715.7,175,91554,488,446781.81,126,112520.96,610,738914.07,227,174161,429,253422.7,477,763491.5,183,232200,518,888920.13,586,409782.63,183,424748.84,105,24955,195,101849
2021,דרום                          ,123,ירוחם,369,1754158.95,213,219870.5,726,622729.44,305,484643.73,986,1482562.45,208,174215.98,305,250176.21,501,935142.09,231,389917.32,511,850860.7,682,510667.38,225,434385.68,0,0,2,2182
2021,דרום                          ,125,נתיבות,228,964227.72,152,317949.15,370,333461.09,176,232780,596,892510.01,239,197999.5,225,186539.03,273,501706.8,148,188407.91,354,819140.22,400,212929.5,254,578259.45,0,0,0,0
2021,דרום                          ,127,שדרות,227,876823.2,139,156083.8,797,602574,142,167226.5,119,160741.52,396,166094,361,290108.6,473,891013,139,330785.5,448,980143.6,371,216327.66,244,392039,0,0,1,800
2021,דרום                          ,130,ערד,360,1796864.89,281,279677.94,1173,654455.56,283,261983.13,2969,2768035.87,472,266579.62,418,255739.81,442,618649.13,204,145858.75,564,801153.78,692,433747.87,325,462670.46,0,0,0,0
2021,דרום                          ,221,רהט,631,2154993.35,702,1315414.5,1005,1064810.67,245,367040,235,415849.36,235,117154.5,689,640980.17,1263,2215762.5,288,389128,1273,2235094,256,243285,1247,2506844.67,1,400,0,0
2021,דרום                          ,222,תל שבע,224,1934548.8,266,532817,644,603330,56,104850,200,364727,15,24141.8,259,270930.8,632,963490.8,16,22402,230,349128.54,117,117836,367,615758.06,0,0,1,800
2021,דרום                          ,240,ערערה- הנגב,223,856166,121,310900,903,919996,162,89950,49,37100,14,9350,424,480650,489,739566,33,28100,159,262050,408,139850,304,685172.54,0,0,1,1300
2021,דרום                          ,241,לקייה,224,755050,229,376680,345,283240,44,40571.4,277,367321.78,97,46620,330,257678,526,1001062,98,76690,197,311186,90,64240,625,1071196.72,0,0,0,0
2021,דרום                          ,242,חורה,238,1411883.55,222,475062,241,239880.5,76,115135.29,39,60903.5,26,36052.5,117,152460,452,804702.5,42,60439.5,297,533483.5,262,133599.5,943,2253773.76,0,0,0,0
2021,דרום                          ,243,שגב שלום,61,368757.25,354,830031.96,196,214357.87,51,66904.8,252,733346.27,4,4787.94,125,139002,462,840799.72,7,15550,113,255229.3,257,112353.26,136,226355.66,0,0,0,0
2021,דרום                          ,244,כסייפא,240,650772.65,35,85000,609,630320,161,232220,89,132290,53,54889,84,64100,733,1192157,8,13200,439,822340,152,124072.65,259,524714,0,0,0,0
2021,דרום                          ,245,אל קסום,215,1640754.61,131,353234.5,777,728461.4,247,258321.73,74,102573.56,3,1510,206,226845.72,760,1837833.66,53,104008.72,297,544293.31,162,132454.97,168,451863.26,0,0,0,0
2021,דרום                          ,246,נווה מדבר,206,541230,168,306032,692,723696,141,131710,17,21380,7,9190,337,228960,586,1080792,10,11186,253,481572,154,152700,124,221000,0,0,1,1500
2021,חיפה   והצפון                 ,500,חדרה,248,1126737.46,206,231746.36,654,358498.98,473,500320.46,1430,2139869.26,654,597231.56,549,499828.3,504,781538.2,181,228435.86,710,1235986.58,589,282405.48,253,490319.3,0,0,0,0
2021,חיפה   והצפון                 ,501,חיפה,1033,4639553.31,303,438001.7,1133,1054902.62,607,1084952.95,2708,3265970.89,407,433025.67,383,376972.49,1938,3461169.38,403,506098.1,1425,2764031.94,1148,700957.93,1115,2348089.02,0,0,15,11899
2021,חיפה   והצפון                 ,504,עכו,585,4329559.65,216,358489.44,1298,1012704.02,653,1156076.78,2178,2829616.43,569,482546.1,1066,880372.81,1143,1961451.28,166,256615.42,1114,2030819.68,757,318589.54,814,1658118.55,0,0,0,0
2021,חיפה   והצפון                 ,505,צפת,228,707536.14,81,171136.44,134,138764.69,203,429680.33,131,211951.38,42,53193,87,135185.36,290,622494.64,91,117428.32,148,295809.7,139,76586.33,224,627349.27,0,0,0,0
2021,חיפה   והצפון                 ,506,קרית אתא,333,1603492.6,57,146792.56,235,230590.1,210,296124.68,399,840165.11,74,115783.44,94,110263.54,467,1031016.94,263,422799.9,338,827595.29,338,77680.9,685,1717464.24,1,22.5,0,0
2021,חיפה   והצפון                 ,507,עפולה,306,2586932.51,115,206504.68,281,307459,133,318310.14,384,670101.47,189,277386.04,340,406085.01,292,573520.44,135,186288.86,367,865988.89,292,198459.83,203,483679.79,0,0,0,0
2021,חיפה   והצפון                 ,520,אור עקיבא,227,1720052.9,76,77667.2,782,553340.65,188,218748.15,1675,2150925.7,174,150700,314,272422.03,333,433346.73,75,93650.16,302,508871.88,818,362824.77,234,333256.7,0,0,2,1080
2021,חיפה   והצפון                 ,521,בית  שאן,240,1902134.18,231,424133.4,313,297185.38,223,332431.58,762,1178916.3,159,164264.5,380,394289.88,589,1004703.14,144,202648.4,315,562688.54,316,126245.42,209,405923,0,0,0,0
